category,local_label,ccdef_label,loinc_code,loinc_shortname
numeric,HR,HR,8867-4,Heart rate
numeric,PULSE,HR,8867-4,Heart rate
numeric,RESP,RR,76174-2,Resp rate PulseOx.pleth
numeric,%SpO2,SPO2,76522-2,Transmission % BldA PulseOx
numeric,dSpO2,SPO2,76522-2,Transmission % BldA PulseOx
numeric,SpO2,SPO2,76522-2,Transmission % BldA PulseOx
numeric,SpO2 L,SPO2,76522-2,Transmission % BldA PulseOx
numeric,SpO2 R,SPO2,76522-2,Transmission % BldA PulseOx
numeric,NBPSys,NIBP-S,76534-7,BP sys by Noninvasive
numeric,NBP Sys,NIBP-S,76534-7,BP sys by Noninvasive
numeric,NBP SYS,NIBP-S,76534-7,BP sys by Noninvasive
numeric,NBPDias,NIBP-D,76535-4,BP dias by Noninvasive
numeric,NBP Dias,NIBP-D,76535-4,BP dias by Noninvasive
numeric,NBP DIAS,NIBP-D,76535-4,BP dias by Noninvasive
numeric,NBPMean,NIBP-M,76536-2,BP mean by Noninvasive
numeric,NBP Mean,NIBP-M,76536-2,BP mean by Noninvasive
numeric,NBP MEAN,NIBP-M,76536-2,BP mean by Noninvasive
numeric,NBP,NIBP-M,76536-2,BP mean by Noninvasive
numeric,ABP SYS,ABP-S,76215-3,Invasive sys BP
numeric,ABP Sys,ABP-S,76215-3,Invasive sys BP
numeric,ABPSys,ABP-S,76215-3,Invasive sys BP
numeric,ART Sys,ABP-S,76215-3,Invasive sys BP
numeric,ABP DIAS,ABP-D,76213-8,Invasive dias BP
numeric,ABP Dias,ABP-D,76213-8,Invasive dias BP
numeric,ABPDias,ABP-D,76213-8,Invasive dias BP
numeric,ABP MEAN,ABP-M,76214-6,Invasive mean BP
numeric,ABP Mean,ABP-M,76214-6,Invasive mean BP
numeric,ABPMean,ABP-M,76214-6,Invasive mean BP
numeric,ART Mean,ABP-M,76214-6,Invasive mean BP
numeric,ABP,ABP-M,76214-6,Invasive mean BP
numeric,CVP,CVP,60985-9,CVP
numeric,PAP SYS,,,
numeric,PAP Sys,,,
numeric,PAPSys,,,
numeric,PAP DIAS,,,
numeric,PAP Dias,,,
numeric,PAPDias,,,
numeric,PAP MEAN,,,
numeric,PAP Mean,,,
numeric,PAPMean,,,
numeric,PAWP,,75994-4,
numeric,AOBP Sys,,,
numeric,AOBP Dias,,,
numeric,AOBP Mean,,,
waveform,ART,ABP,76212-0,Invasive BP
waveform,PAP,,76284-9,
waveform,CVP,CVP,60985-9,CVP
