category,local_label,ccdef_label,loinc_code,loinc_shortname
clinical,Blasts,,26447-3,
clinical,Eosinophils,,26451-5,
clinical,"Hematocrit, CSF",,30398-2,
clinical,Hypersegmented Neutrophils,,26506-6,
clinical,Immunophenotyping,,,
clinical,Lymphs,,26479-6,
clinical,Macrophage,,30426-1,
clinical,Mesothelial cells,,30429-5,
clinical,Metamyelocytes,,30366-9,
clinical,Monocytes,,26486-1,
clinical,Myelocytes,,30447-7,
clinical,NRBC,,48778-5,
clinical,Other,,,
clinical,Plasma,,47413-0,
clinical,Polys,,26517-3,
clinical,Promyelocytes,,,
clinical,"RBC, CSF",,26454-9,
clinical,"WBC, CSF",,26465-5,
clinical,Young,,,
clinical,Atypical Lymphocytes,,33371-6,
clinical,Bands,,33361-7,
clinical,Basophils,,17833-5,
clinical,Eosinophils,,17834-3,
clinical,"Hematocrit, Joint Fluid",,,
clinical,"Joint Crystals, Birefringence",,,
clinical,"Joint Crystals, Comment",,,
clinical,"Joint Crystals, Location",,,
clinical,"Joint Crystals, Number",,,
clinical,"Joint Crystals, Shape",,,
clinical,Lymphocytes,,26483-8,
clinical,Macrophage,,33376-5,
clinical,Mesothelial Cells,,33365-8,
clinical,Metamyelocytes,,,
clinical,Monocytes,,17835-0,
clinical,NRBC,,48040-0,
clinical,Other,,,
clinical,Polys,,26522-3,
clinical,"RBC, Joint Fluid",,26458-0,
clinical,"WBC, Joint Fluid",,26469-7,
clinical,Atypical Lymphocytes,,30417-0,
clinical,Bands,,26510-8,
clinical,Basophils,,28543-7,
clinical,CD10,,51217-8,
clinical,CD103,,,
clinical,CD117,,42867-2,
clinical,CD11c,,51232-7,
clinical,CD13,,51238-4,
clinical,CD138,,42871-4,
clinical,CD14,,51248-3,
clinical,CD15,,51252-5,
clinical,CD16,,,
clinical,CD16/56,,18268-3,
clinical,CD19,,17829-3,
clinical,CD2,,17827-7,
clinical,CD20,,57418-6,
clinical,CD22,,42875-5,
clinical,CD23,,51269-9,
clinical,CD25,,,
clinical,CD3,,17826-9,
clinical,CD33,,51294-7,
clinical,CD34,,,
clinical,CD38,,51299-6,
clinical,CD4,,17822-8,
clinical,CD4/CD8 Ratio,,18266-7,
clinical,CD41,,51320-0,
clinical,CD45,,17823-6,
clinical,CD5,,57423-6,
clinical,CD56,,57424-4,
clinical,CD57,,,
clinical,CD64,,51366-3,
clinical,CD7,,57425-1,
clinical,CD71,,57426-9,
clinical,CD8,,17824-4,
clinical,Eosinophils,,26452-3,
clinical,FMC-7,,57428-5,
clinical,Glyco A,,57430-1,
clinical,"Hematocrit, Other Fluid",,11153-4,
clinical,HLA-DR,,51381-2,
clinical,Immunophenotyping,,,
clinical,Kappa,,,
clinical,Lambda,,,
clinical,Lymphocytes,,11031-2,
clinical,Macrophage,,12230-9,
clinical,Mesothelial cells,,28544-5,
clinical,Metamyelocytes,,17801-2,
clinical,Monos,,10330-9,
clinical,Myelocytes,,17800-4,
clinical,NRBC,,,
clinical,Other Cell,,,
clinical,Plasma,,17803-8,
clinical,Polys,,26518-1,
clinical,Promyelocytes,,17799-8,
clinical,"RBC, Other Fluid",,26455-6,
clinical,"WBC, Other Fluid",,26466-3,
clinical,Atypical Lymphocytes,,33370-8,
clinical,Bands,,,
clinical,Basophils,,35070-2,
clinical,Blasts,,,
clinical,Eosinophils,,30379-2,
clinical,"Hematocrit, Pleural",,,
clinical,Lymphocytes,,26481-2,
clinical,Macrophages,,40520-9,
clinical,Mesothelial Cells,,30431-1,
clinical,Metamyelocytes,,,
clinical,Monos,,33362-5,
clinical,Myelocytes,,,
clinical,NRBC,,,
clinical,Other,,,
clinical,Plasma Cells,,40522-5,
clinical,Polys,,26519-9,
clinical,Promyelocytes,,,
clinical,"RBC, Pleural",,26456-4,
clinical,"WBC, Pleural",,26467-1,
clinical,Young Cells,,,
clinical,"Blood, Occult",,2335-8,
clinical,Ammonium Biurate,,12454-5,
clinical,Amorphous Crystals,,8246-1,
clinical,Bacteria,,5769-5,
clinical,Bilirubin,,5770-3,
clinical,Bilirubin Crystals,,5771-1,
clinical,Blood,,5794-3,
clinical,Broad Casts,,18487-9,
clinical,Calcium Carbonate Crystals,,5773-7,
clinical,Calcium Oxalate Crystals,,5774-5,
clinical,Calcium Phosphate Crystals,,5775-2,
clinical,Cellular Cast,,,
clinical,Cholesterol Crystals,,5777-8,
clinical,SPECIMEN TYPE,,,
clinical,Alveolar-arterial Gradient,,19991-9,
clinical,Base Excess,,11555-0,
clinical,"Calculated Bicarbonate, Whole Blood",,1959-6,
clinical,Calculated Total CO2,,34728-6,
clinical,Carboxyhemoglobin,,20563-3,
clinical,"Chloride, Whole Blood",,2069-3,
clinical,Comments,,,
clinical,Free Calcium,,1994-3,
clinical,Glucose,,2339-0,
clinical,"Hematocrit, Calculated",,20570-8,
clinical,Hemoglobin,,718-7,
clinical,Intubated,,,
clinical,Lactate,,32693-4,
clinical,Methemoglobin,,2614-6,
clinical,O2 Flow,,3151-8,
clinical,Oxygen,,19994-3,
clinical,Oxygen Saturation,,20564-1,
clinical,pCO2,,11557-6,
clinical,PEEP,,20077-4,
clinical,pH,,11558-4,
clinical,pO2,,11556-8,
clinical,"Potassium, Whole Blood",,6298-4,
clinical,Required O2,,,
clinical,"Sodium, Whole Blood",,2947-0,
clinical,Temperature,,,
clinical,Tidal Volume,,20112-9,
clinical,Ventilation Rate,,,
clinical,Ventilator,,,
clinical,Fluid Type,,14725-6,
clinical,"pCO2, Body Fluid",,2023-0,
clinical,pH,,2748-2,
clinical,"pO2, Body Fluid",,2706-0,
clinical,Potassium,,2821-7,
clinical,"Sodium, Body Fluid",,2950-4,
clinical,"Albumin, Ascites",,1749-1,
clinical,"Amylase, Ascites",,1797-0,
clinical,"Bicarbonate, Ascites",,54360-3,
clinical,"Bilirubin, Total, Ascites",,14422-0,
clinical,"Chloride, Ascites",,33366-6,
clinical,"Cholesterol, Ascites",,14441-0,
clinical,"Creatinine, Ascites",,12191-3,
clinical,"Glucose, Ascites",,2347-3,
clinical,"Lactate Dehydrogenase, Ascites",,2531-2,
clinical,"Lipase, Ascites",,32722-1,
clinical,"Miscellaneous, Ascites",,,
clinical,"Osmolality, Ascites",,2691-4,
clinical,"Potassium, Ascites",,49789-1,
clinical,"Sodium, Ascites",,49790-9,
clinical,"Total Protein, Ascites",,2883-7,
clinical,"Triglycerides, Ascites",,14447-7,
clinical,"Urea Nitrogen, Ascites",,12265-5,
clinical,% Hemoglobin A1c,,4548-4,
clinical,25-OH Vitamin D,,,
clinical,Absolute A1c,,4548-4,
clinical,Absolute Hemoglobin,,718-7,
clinical,Acetaminophen,,3297-9,
clinical,Acetone,,5567-3,
clinical,Acid Phosphatase,,1715-2,
clinical,"Acid Phosphatase, Non-Prostatic",,,
clinical,"AFP, Maternal Screen",,,
clinical,Alanine Aminotransferase (ALT),,1742-6,
clinical,Albumin,,1751-7,
clinical,Alkaline Phosphatase,,6768-6,
clinical,Alpha-Fetoprotein,,1834-1,
clinical,Amikacin,,,
clinical,Ammonia,,16362-6,
clinical,Amylase,,1798-8,
clinical,Anion Gap,,1863-0,
clinical,Anti-DGP (IgA/IgG),,,
clinical,"Anti-Gliadin Antibody, IgA",,7893-1,
clinical,Anti-Mitochondrial Antibody,,14236-4,
clinical,Anti-Neutrophil Cytoplasmic Antibody,,35279-9,
clinical,Anti-Nuclear Antibody,,5047-6,
clinical,"Anti-Nuclear Antibody, Titer",,8061-4,
clinical,Anti-Parietal Cell Antibody,,26969-6,
clinical,Anti-Smooth Muscle Antibody,,14252-1,
clinical,Anti-Thyroglobulin Antibodies,,5380-1,
clinical,Asparate Aminotransferase (AST),,1920-8,
clinical,Barbiturate Screen,,3376-1,
clinical,Benzodiazepine Screen,,42662-7,
clinical,Beta-2 Microglobulin,,32731-2,
clinical,Bicarbonate,,1963-8,
clinical,"Bilirubin, Direct",,1968-7,
clinical,"Bilirubin, Indirect",,1971-1,
clinical,"Bilirubin, Total",,1975-2,
clinical,Blood Culture Hold,,,
clinical,Blue Top Hold,,,
clinical,Blue Top Hold Frozen,,,
clinical,C-Reactive Protein,,1988-5,
clinical,C3,,4485-9,
clinical,C4,,4498-2,
clinical,CA-125,,10334-1,
clinical,"Calcium, Total",,2000-8,
clinical,Calculated Free Testosterone,,2991-8,
clinical,Calculated TBG,,3027-0,
clinical,Calculated Thyroxine (T4) Index,,32215-6,
clinical,Call,,,
clinical,Cancer Antigen 27.29,,17842-6,
clinical,Carbamazepine,,3432-2,
clinical,Carcinoembyronic Antigen (CEA),,2039-6,
clinical,Centromere,,16570-4,
clinical,Chloride,,2075-0,
clinical,Cholesterol Ratio (Total/HDL),,9322-9,
clinical,"Cholesterol, HDL",,2085-9,
clinical,"Cholesterol, LDL, Calculated",,2090-9,
clinical,"Cholesterol, LDL, Measured",,18262-6,
clinical,"Cholesterol, Total",,2093-3,
clinical,CK-MB Index,,20569-0,
clinical,Cortisol,,2143-6,
clinical,Creatine Kinase (CK),,2157-6,
clinical,"Creatine Kinase, MB Isoenzyme",,6773-6,
clinical,Creatinine,,2160-0,
clinical,Cryoglobulin,,5117-7,
clinical,Cyclosporin,,3521-2,
clinical,D-Dimer,,,
clinical,DHEA-Sulfate,,2191-5,
clinical,Digoxin,,10535-3,
clinical,Double Stranded DNA,,5130-0,
clinical,EDTA Hold,,,
clinical,Estimated GFR (MDRD equation),,33914-3,
clinical,Estradiol,,2243-4,
clinical,Ethanol,,5642-4,
clinical,Fax,,,
clinical,Ferritin,,2276-4,
clinical,Folate,,2284-8,
clinical,Follicle Stimulating Hormone,,15067-2,
clinical,Gamma Glutamyltransferase,,2324-2,
clinical,Gastrin,,2333-3,
clinical,Gentamicin,,35668-3,
clinical,Globulin,,2336-6,
clinical,Glucose,,2345-7,
clinical,Gray Top Hold (plasma),,,
clinical,Green Top Hold (plasma),,,
clinical,H,,,
clinical,Haptoglobin,,4542-7,
clinical,"HCG, Maternal Screen",,,
clinical,Hepatitis A Virus Antibody,,5183-9,
clinical,Hepatitis A Virus IgM Antibody,,22314-9,
clinical,"Hepatitis B Core Antibody, IgM",,31204-1,
clinical,Hepatitis B Surface Antibody,,5193-8,
clinical,Hepatitis B Surface Antigen,,5196-1,
clinical,Hepatitis B Virus Core Antibody,,5187-0,
clinical,Hepatitis C Virus Antibody,,16128-1,
clinical,HIV Antibody,,5220-9,
clinical,Homocysteine,,13965-9,
clinical,Human Chorionic Gonadotropin,,2119-6,
clinical,I,,,
clinical,Immunofixation,,49275-1,
clinical,Immunoglobulin A,,2458-8,
clinical,Immunoglobulin G,,2465-3,
clinical,Immunoglobulin M,,2472-9,
clinical,Iron,,2498-4,
clinical,"Iron Binding Capacity, Total",,2500-7,
clinical,Lactate Dehydrogenase (LD),,2532-0,
clinical,Light Green Top Hold,,,
clinical,Lipase,,3040-3,
clinical,Lithium,,3719-2,
clinical,Luteinizing Hormone,,1599-0,
clinical,Macro Prolactin,,,
clinical,Magnesium,,2601-3,
clinical,Methotrexate,,,
clinical,N-Acetylprocainamide (NAPA),,3834-9,
clinical,NTproBNP,,33762-6,
clinical,"Osmolality, Measured",,2692-2,
clinical,Parathyroid Hormone,,2731-8,
clinical,Phenobarbital,,3947-9,
clinical,Phenytoin,,3967-7,
clinical,"Phenytoin, Free",,3969-3,
clinical,"Phenytoin, Percent Free",,10548-6,
clinical,Phosphate,,2777-1,
clinical,Potassium,,2823-3,
clinical,Procainamide,,3982-6,
clinical,Prolactin,,2842-3,
clinical,Prostate Specific Antigen,,2857-1,
clinical,Protein Electrophoresis,,24351-9,
clinical,"Protein, Total",,2885-2,
clinical,Quinidine,,6694-4,
clinical,Rapamycin,,29247-4,
clinical,Red Top Hold,,,
clinical,Rheumatoid Factor,,6928-6,
clinical,Salicylate,,4023-8,
clinical,Sex Hormone Binding Globulin,,2942-1,
clinical,Sodium,,2951-2,
clinical,Stat,,,
clinical,Study Tubes,,,
clinical,tacroFK,,,
clinical,Testosterone,,2986-8,
clinical,"Testosterone, Free",,2991-8,
clinical,Theophylline,,4049-3,
clinical,Thyroglobulin,,3013-0,
clinical,Thyroid Peroxidase Antibodies,,8099-4,
clinical,Thyroid Stimulating Hormone,,3016-3,
clinical,Thyroxine (T4),,3026-2,
clinical,"Thyroxine (T4), Free",,3024-7,
clinical,"Tissue Transglutaminase Ab, IgA",,31017-7,
clinical,Tobramycin,,35670-9,
clinical,Transferrin,,2500-7,
clinical,Tricyclic Antidepressant Screen,,4073-3,
clinical,Triglycerides,,1644-4,
