category,local_label,ccdef_label,loinc_code,loinc_shortname
numeric,HR,HR,8867-4,Heart Rate
numeric,SPO2-%,SPO2,76522-2,Transmission % BldA PulseOx
numeric,NBP-S,NIBP-S,76534-7,BP sys by Noninvasive
numeric,NBP-D,NIBP-D,76535-4,BP dias by Noninvasive
numeric,NBP-M,NIBP-M,76536-2,BP mean by Noninvasive
numeric,AR1-M,ABP-M,76214-6,Invasive mean BP
numeric,AR2-M,ABP-M,76214-6,Invasive mean BP
numeric,CVP1,CVP,60985-9,CVP
numeric,CVP2,CVP,60985-9,CVP
numeric,ICP1,,,
numeric,ICP2,,,
numeric,PA1,,,
numeric,PA2,,,
waveform,AR1,ABP,76212-0,Invasive BP
waveform,AR2,ABP,76212-0,Invasive BP
waveform,AR3,ABP,76212-0,Invasive BP
waveform,I,ECG-I,,ECG Lead I
waveform,II,ECG-II,,ECG Lead II
waveform,III,ECG-III,,ECG Lead III
waveform,V,ECG-V,,ECG Lead V
waveform,SPO2,PLETH,,Plethysmogram
waveform,CVP1,CVP,60985-9,CVP
waveform,CVP2,CVP,60985-9,CVP
waveform,RR,,,
