category,local_label,ccdef_label,loinc_code,loinc_shortname
clinical,HB,,718-7,Hgb Bld-mCnc
clinical,AHB,,718-7,Hgb Bld-mCnc
clinical,K,,2823-3,Potassium SerPl-sCnc
clinical,CDIOX,,2028-9,CO2 SerPl-sCnc
clinical,CL,,2075-0,Chloride SerPl-sCnc
clinical,ERCS,,789-8,RBC # Bld Auto
clinical,MCHC,,786-4,MCHC RBC Auto-mCnc
clinical,MCH,,785-6,MCH RBC Qn Auto
clinical,CHCT,,4544-3,Hct VFr Bld Auto
clinical,HCT,,4544-3,Hct VFr Bld Auto
clinical,BHCT,,4544-3,Hct VFr Bld Auto
clinical,LKCS,,6690-2,WBC # Bld Auto
clinical,ALT,,1742-6,ALT SerPl-cCnc
clinical,PLT,,777-3,Platelet # Bld Auto
clinical,AST,,1920-8,AST SerPl-cCnc
clinical,ALB,,1751-7,Albumin SerPl-mCnc
clinical,ALBE,,1751-7,Albumin SerPl-mCnc
clinical,TP,,2885-2,Prot SerPl-mCnc
clinical,ALP,,6768-6,ALP SerPl-cCnc
clinical,RDW,,788-0,RDW RBC Auto-Rto
clinical,EGFR,,33914-3,GFR/BSA.pred SerPl MDRD-ArVRat
clinical,BAS,,704-7,Basophils # Bld Auto
clinical,MCV,,30428-7,MCV RBC
clinical,LYM,,731-0,Lymphocytes # Bld Auto
clinical,NEU,,751-8,Neutrophils # Bld Auto
clinical,PTTEST,,5902-2,Prothrombin time
clinical,EOS,,711-2,Eosinophil # Bld Auto
clinical,MON,,742-7,Monocytes # Bld Auto
clinical,UNIT,,5802-4,Nitrite Ur Ql Strip
clinical,COLOUR,,5778-6,Color Ur
clinical,UPHD,,5803-2,pH Ur Strip
clinical,UPH,,5803-2,pH Ur Strip
clinical,UBIL,,5770-3,Bilirub Ur Ql Strip
clinical,PSG,,5811-5,Sp Gr Ur Strip
clinical,UP,,5804-0,Prot Ur Strip-mCnc
clinical,MG,,2601-3,Magnesium SerPl-sCnc
clinical,UWBC,,5821-4,WBC #/area UrnS HPF
clinical,HGBA1C,,4548-4,Hgb A1c MFr Bld
clinical,BEXD,,11555-0,Base excess Bld Calc-sCnc
clinical,BEX,,11555-0,Base excess Bld Calc-sCnc
clinical,PCO2,,11557-6,pCO2 Bld
clinical,VPCO2,,11557-6,pCO2 Bld
clinical,CLPCO2,,11557-6,pCO2 Bld
clinical,MVPCO2,,11557-6,pCO2 Bld
clinical,CVPCO2,,11557-6,pCO2 Bld
clinical,CAPCO2,,11557-6,pCO2 Bld
clinical,MVPO2,,11556-8,pO2 Bld
clinical,PO2,,11556-8,pO2 Bld
clinical,CLPO2,,11556-8,pO2 Bld
clinical,CVPO2,,11556-8,pO2 Bld
clinical,VPO2,,11556-8,pO2 Bld
clinical,CAPO2,,11556-8,pO2 Bld
clinical,UBAC,,5769-5,Bacteria #/area UrnS HPF
clinical,CK,,2157-6,CK SerPl-cCnc
clinical,CLPH,,11558-4,pH Bld
clinical,MVPH,,11558-4,pH Bld
clinical,APHC,,11558-4,pH Bld
clinical,PH,,11558-4,pH Bld
clinical,VPH,,11558-4,pH Bld
clinical,CVPH,,11558-4,pH Bld
clinical,TSH,,3016-3,TSH SerPl-aCnc
clinical,BK,,6298-4,Potassium Bld-sCnc
clinical,TROP,,10839-9,Troponin I SerPl-mCnc
clinical,GAP,,33037-3,Anion Gap SerPl-sCnc
clinical,MVHCO3,,1959-6,HCO3 Bld-sCnc
clinical,CLHCO3,,1959-6,HCO3 Bld-sCnc
clinical,HCO3,,1959-6,HCO3 Bld-sCnc
clinical,VHCO3,,1959-6,HCO3 Bld-sCnc
clinical,CVHCO3,,1959-6,HCO3 Bld-sCnc
clinical,CAHCO3,,1959-6,HCO3 Bld-sCnc
clinical,BNA,,2947-0,Sodium Bld-sCnc
